"bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
14.470832824707,12.0749998092651,48.8866386413574,476.017852783203,28.5,3.79999995231628,24.7000007629395,8.86666679382324,19.7666664123535,20.533332824707,8.86666679382324,726,153,2,92.0453720092773,393,9,15,393
16.7416667938232,13.6333332061768,44.2640686035156,635.011901855469,34.5,3.70000004768372,30.7999992370605,10.6333332061768,24.4166660308838,24.4166660308838,9.11666679382324,551,99,3,84.3980178833008,271,11,11,260
14.6499996185303,13.9333333969116,54.855640411377,428.639495849609,28.2000007629395,2.79999995231628,25.4000015258789,9.34999942779541,19.3833332061768,19.8999996185303,9.34999942779541,369,75,1,89.9419326782227,196,5,8,196
12.8708333969116,12.7416667938232,59.5404968261719,329.768920898438,24.7000007629395,3.29999995231628,21.4000015258789,9.31666660308838,16.3500003814697,17.2333335876465,9.31666660308838,829,161,3,91.5818710327148,439,11,17,439
14.4458332061768,17.7083339691162,50.4510955810547,629.817626953125,34.5999984741211,-0.5,35.0999984741211,8.38333320617676,22.3500003814697,22.4500007629395,7.29999971389771,395,77,1,87.0513000488281,208,5,14,207
16.341667175293,15.9499998092651,45.8333320617676,702.689086914062,36,1.20000004768372,34.7999992370605,9.53333377838135,25.2666664123535,25.2999992370605,8.51666641235352,462,86,1,83.5303573608398,245,8,17,225
12.6083335876465,13.783332824707,46.4085311889648,606.783020019531,29.7999992370605,0.100000001490116,29.6999988555908,6.41666650772095,20.1000003814697,20.6499996185303,6.06666660308838,353,62,1,81.5792846679688,172,10,15,166
14.4708337783813,13.908332824707,45.4520721435547,616.704772949219,32.2999992370605,1.70000004768372,30.5999984741211,7.46666669845581,21.8166656494141,22.533332824707,7.46666669845581,724,147,2,90.7157440185547,383,10,17,383
14.875,13.6666669845581,55.5555534362793,423.349731445312,28.7000007629395,4.09999990463257,24.6000003814697,9.68333339691162,19.6166667938232,20,9.68333339691162,917,193,1,94.9009780883789,515,9,14,515
16.7875003814697,14.658332824707,46.5343894958496,631.143005371094,34.5,3,31.5,9.80000019073486,24.216667175293,24.4333343505859,9.05000019073486,305,59,1,84.3602600097656,153,5,10,151
